Revenue Retention Score,AR Score,Revenue Trend Score,Count
73,100,62,3
73,100,64,9
73,100,67,8
73,100,70,6
73,100,73,3
74,100,23,1
74,100,28,1
74,100,31,3
74,100,56,4
74,100,59,3
74,100,62,8
74,100,64,9
74,100,67,14
74,100,70,7
74,100,73,4
74,100,75,1
75,0,31,1
75,93,67,1
75,100,25,1
75,100,31,8
75,100,48,1
75,100,50,1
75,100,53,1
75,100,56,2
75,100,59,1
75,100,62,8
75,100,64,10
75,100,67,11
75,100,70,5
75,100,73,4
75,100,75,2
75,100,78,1
76,1,62,1
76,22,59,1
76,100,28,1
76,100,31,5
76,100,50,1
76,100,53,1
76,100,56,4
76,100,62,9
76,100,64,10
76,100,67,10
76,100,70,4
76,100,73,3
77,17,64,1
77,100,31,4
77,100,56,5
77,100,59,6
77,100,62,9
77,100,64,11
77,100,67,14
77,100,70,10
77,100,73,5
77,100,75,2
77,100,78,1
77,100,87,1
78,67,73,1
78,100,23,2
78,100,28,1
78,100,31,3
78,100,50,1
78,100,53,1
78,100,56,5
78,100,59,8
78,100,62,16
78,100,64,7
78,100,67,10
78,100,70,7
78,100,73,4
78,100,75,3
78,100,78,1
79,100,28,1
79,100,31,3
79,100,56,2
79,100,59,5
79,100,62,11
79,100,64,18
79,100,67,13
79,100,70,7
79,100,73,9
79,100,75,1
79,100,78,2
80,100,31,4
80,100,53,1
80,100,59,7
80,100,62,14
80,100,64,9
80,100,67,9
80,100,70,8
80,100,73,4
80,100,78,2
81,12,70,1
81,96,67,1
81,100,20,1
81,100,31,7
81,100,53,2
81,100,56,2
81,100,59,6
81,100,62,13
81,100,64,10
81,100,67,19
81,100,70,8
81,100,73,6
81,100,78,1
81,100,84,1
82,78,75,1
82,100,25,1
82,100,28,1
82,100,31,4
82,100,50,1
82,100,56,5
82,100,59,5
82,100,62,11
82,100,64,11
82,100,67,18
82,100,70,12
82,100,73,10
82,100,75,2
82,100,78,1
83,0,59,1
83,74,75,1
83,100,28,1
83,100,31,7
83,100,53,1
83,100,56,2
83,100,59,4
83,100,62,13
83,100,64,9
83,100,67,10
83,100,70,13
83,100,73,7
83,100,78,3
84,0,67,1
84,96,62,1
84,100,31,6
84,100,56,2
84,100,59,4
84,100,62,10
84,100,64,9
84,100,67,18
84,100,70,9
84,100,73,5
84,100,75,4
84,100,78,2
85,53,59,1
85,82,64,1
85,95,70,1
85,97,73,1
85,99,62,1
85,100,25,1
85,100,31,1
85,100,56,2
85,100,59,5
85,100,62,11
85,100,64,5
85,100,67,16
85,100,70,9
85,100,73,8
85,100,75,1
85,100,78,1
85,100,81,1
86,100,31,2
86,100,53,1
86,100,56,2
86,100,59,4
86,100,62,11
86,100,64,10
86,100,67,22
86,100,70,10
86,100,73,12
86,100,75,2
86,100,78,1
87,0,62,1
87,39,78,1
87,59,75,1
87,100,31,3
87,100,53,1
87,100,56,3
87,100,59,1
87,100,62,14
87,100,64,15
87,100,67,12
87,100,70,7
87,100,73,15
87,100,75,7
87,100,78,2
88,56,75,1
88,98,73,1
88,100,25,1
88,100,28,1
88,100,31,3
88,100,56,2
88,100,59,2
88,100,62,8
88,100,64,6
88,100,67,20
88,100,70,9
88,100,73,7
88,100,75,2
88,100,78,3
88,100,84,1
88,100,87,1
89,0,70,1
89,0,75,1
89,100,31,4
89,100,56,1
89,100,59,5
89,100,62,6
89,100,64,12
89,100,67,10
89,100,70,3
89,100,73,4
89,100,75,5
89,100,78,3
90,96,67,1
90,100,23,1
90,100,31,8
90,100,59,2
90,100,62,8
90,100,64,8
90,100,67,7
90,100,70,8
90,100,73,8
90,100,75,4
90,100,78,5
90,100,81,1
91,0,59,1
91,100,31,3
91,100,56,1
91,100,59,2
91,100,62,8
91,100,64,5
91,100,67,17
91,100,70,9
91,100,73,6
91,100,75,6
91,100,78,2
91,100,84,1
92,0,67,1
92,26,62,1
92,100,28,1
92,100,31,3
92,100,56,2
92,100,59,5
92,100,62,6
92,100,64,5
92,100,67,12
92,100,70,7
92,100,73,9
92,100,75,3
92,100,78,1
92,100,81,1
92,100,87,1
93,0,64,1
93,14,78,1
93,100,31,3
93,100,56,1
93,100,62,7
93,100,64,8
93,100,67,9
93,100,70,6
93,100,73,6
93,100,75,4
93,100,78,1
93,100,81,3
94,0,70,1
94,100,20,1
94,100,31,4
94,100,59,3
94,100,62,6
94,100,64,4
94,100,67,10
94,100,70,6
94,100,73,1
94,100,75,1
94,100,78,2
94,100,81,1
95,21,73,1
95,61,70,1
95,100,31,2
95,100,56,1
95,100,62,8
95,100,64,3
95,100,67,11
95,100,70,8
95,100,73,5
95,100,75,4
95,100,78,4
96,100,31,2
96,100,59,1
96,100,62,6
96,100,64,8
96,100,67,11
96,100,70,6
96,100,73,6
96,100,75,2
96,100,78,1
97,0,67,1
97,100,31,4
97,100,56,1
97,100,59,1
97,100,62,5
97,100,64,4
97,100,67,5
97,100,70,5
97,100,73,8
97,100,75,6
97,100,78,1
97,100,81,2
97,100,89,1
98,0,31,1
98,73,70,1
98,100,31,2
98,100,59,2
98,100,62,2
98,100,64,2
98,100,67,9
98,100,70,8
98,100,73,5
98,100,75,2
98,100,81,2
98,100,84,1
99,33,64,1
99,83,64,1
99,100,28,1
99,100,31,3
99,100,59,1
99,100,62,2
99,100,64,3
99,100,67,10
99,100,70,3
99,100,73,4
99,100,75,1
99,100,78,2
99,100,81,1
100,0,20,1
100,0,25,1
100,0,28,1
100,0,31,2
100,0,62,1
100,0,64,1
100,0,67,1
100,0,70,4
100,0,73,3
100,0,78,1
100,14,31,1
100,16,73,1
100,19,31,1
100,25,31,1
100,29,31,1
100,32,64,1
100,35,70,1
100,35,73,1
100,36,25,1
100,39,73,1
100,43,70,1
100,45,67,1
100,46,70,1
100,49,81,1
100,53,70,1
100,55,67,1
100,59,64,1
100,61,70,1
100,62,31,1
100,79,62,1
100,80,78,1
100,87,78,1
100,88,70,1
100,90,62,1
100,92,31,1
100,92,75,1
100,97,64,1
100,98,67,1
100,99,70,1
100,100,20,4
100,100,23,7
100,100,25,20
100,100,28,27
100,100,31,108
100,100,50,3
100,100,53,2
100,100,56,9
100,100,59,23
100,100,62,57
100,100,64,96
100,100,67,139
100,100,70,212
100,100,73,126
100,100,75,65
100,100,78,41
100,100,81,22
100,100,84,4
100,100,87,3
100,100,89,1
100,100,95,1
